ID,AssistsTotal,BlocksTotal,DefensiveReboundsTotal,DoubleDoubles,Efficiency,FieldGoals2PointsAttemptedTotal,FieldGoals2PointsMadeTotal,FieldGoals3PointsAttemptedTotal,FieldGoals3PointsMadeTotal,FreeThrowsAttemptedTotal,FreeThrowsMadeTotal,GamesPlayedTotal,LastName,MinutesTotal,OffensiveReboundsTotal,OfficialName,PersonalFoulsTotal,PlayerId,PlayerLink,PlusMinus,PointsTotal,Position,SecondsTotal,ShirtNumber,StealsTotal,TripleDoubles,TurnOversTotal,Country,FullName
224,19,2,19,1,89.0,34,19,15,6,19,9,5,Ben Romdhane,140,17,Makram Ben Romdhane (TUN),16,171574,/basketballworldcup/2019/player/Makram-Ben-Romdhane,30,65,Power Forward,8446,N/A,9,0,8,TUN,Makram Ben Romdhane
225,22,0,12,0,69.0,23,12,15,4,20,17,5,Abada,157,2,Omar Abada (TUN),8,184221,/basketballworldcup/2019/player/Omar-Abada,9,53,Point Guard,9458,N/A,13,0,8,TUN,Omar Abada
226,12,16,38,2,126.0,38,24,19,7,14,12,5,Mejri,154,13,Salah Mejri (TUN),14,161521,/basketballworldcup/2019/player/Salah-Mejri,5,81,Center,9279,N/A,5,0,11,TUN,Salah Mejri
227,2,0,1,0,3.0,2,1,5,2,0,0,4,Knioua,42,0,Nizar Knioua (TUN),4,158479,/basketballworldcup/2019/player/Nizar-Knioua,-18,8,Point Guard,2542,N/A,1,0,5,TUN,Nizar Knioua
228,12,1,6,0,28.0,15,7,25,6,5,4,5,El Mabrouk,143,4,Mourad El Mabrouk (TUN),5,148550,/basketballworldcup/2019/player/Mourad-El-Mabrouk,24,36,Shooting Guard,8612,N/A,1,0,4,TUN,Mourad El Mabrouk
229,3,0,0,0,1.0,9,2,5,1,2,1,5,Chennoufi,55,2,Ziyed Chennoufi (TUN),8,154782,/basketballworldcup/2019/player/Ziyed-Chennoufi,-42,8,Shooting Guard,3354,N/A,2,0,2,TUN,Ziyed Chennoufi
230,19,0,9,0,64.0,39,21,24,8,6,5,5,Roll,163,2,Michael Roll (TUN),12,185990,/basketballworldcup/2019/player/Michael-Roll,19,71,Shooting Guard,9836,N/A,5,0,7,TUN,Michael Roll
231,3,1,11,0,35.0,16,8,11,6,4,2,5,Hadidane,76,2,Mohamed Hadidane (TUN),6,148549,/basketballworldcup/2019/player/Mohamed-Hadidane,-30,36,Power Forward,4588,N/A,0,0,3,TUN,Mohamed Hadidane
232,6,0,5,0,5.0,18,7,10,2,4,2,5,Hiejima,90,1,Makoto Hiejima (JPN),11,181087,/basketballworldcup/2019/player/Makoto-Hiejima,-58,22,Shooting Guard,5417,N/A,3,0,11,JPN,Makoto Hiejima
233,4,0,8,0,15.0,10,3,4,1,10,7,5,Takeuchi,91,4,Joji Takeuchi (JPN),4,156006,/basketballworldcup/2019/player/Joji-Takeuchi,-63,16,Power Forward,5512,N/A,1,0,5,JPN,Joji Takeuchi
234,8,2,23,0,81.0,43,23,13,2,28,26,5,Watanabe,161,5,Yuta Watanabe (JPN),9,205382,/basketballworldcup/2019/player/Yuta-Watanabe,-114,78,Small Forward,9708,N/A,4,0,6,JPN,Yuta Watanabe
235,0,0,4,0,-1.0,2,1,11,1,0,0,4,Ando,29,1,Shuto Ando (JPN),1,262921,/basketballworldcup/2019/player/Shuto-Ando,-11,5,Shooting Guard,1773,N/A,2,0,2,JPN,Shuto Ando
236,15,0,11,0,40.0,32,13,13,4,13,8,5,Baba,127,2,Yudai Baba (JPN),11,220445,/basketballworldcup/2019/player/Yudai-Baba,-80,46,Small Forward,7651,N/A,7,0,8,JPN,Yudai Baba
237,9,0,3,0,21.0,18,6,14,5,6,4,5,Tanaka,114,2,Daiki Tanaka (JPN),7,181193,/basketballworldcup/2019/player/Daiki-Tanaka,-77,31,Shooting Guard,6879,N/A,6,0,7,JPN,Daiki Tanaka
238,6,1,26,1,78.0,42,19,16,9,11,7,5,Fazekas,137,11,Nick Fazekas (JPN),8,152307,/basketballworldcup/2019/player/Nick-Fazekas,-94,72,Center,8273,N/A,5,0,9,JPN,Nick Fazekas
239,19,1,24,0,105.0,54,25,47,20,15,12,8,Bohacik,242,8,Jaromir Bohacik (CZE),25,168674,/basketballworldcup/2019/player/Jaromir-Bohacik,5,122,Forward,14558,N/A,2,0,12,CZE,Jaromir Bohacik
240,16,2,24,1,96.0,43,25,37,12,5,5,8,Hruban,227,12,Vojtech Hruban (CZE),21,155176,/basketballworldcup/2019/player/Vojtech-Hruban,-2,91,Forward,13627,N/A,6,0,12,CZE,Vojtech Hruban
241,5,0,20,0,80.0,53,30,8,4,26,19,8,Auda,173,8,Patrik Auda (CZE),28,174138,/basketballworldcup/2019/player/Patrik-Auda,40,91,Center,10405,N/A,5,0,15,CZE,Patrik Auda
242,5,0,6,0,23.0,22,10,5,0,0,0,8,Kriz,88,10,Martin Kriz (CZE),6,168740,/basketballworldcup/2019/player/Martin-Kriz,-18,20,Center,5335,N/A,3,0,4,CZE,Martin Kriz
243,3,0,4,0,11.0,0,0,6,2,0,0,4,Palyza,17,2,Lukas Palyza (CZE),3,151565,/basketballworldcup/2019/player/Lukas-Palyza,11,6,Small Forward,1042,N/A,1,0,1,CZE,Lukas Palyza
244,7,1,10,0,56.0,16,9,15,9,2,2,8,Peterka,91,7,Martin Peterka (CZE),2,183205,/basketballworldcup/2019/player/Martin-Peterka,6,47,Center,5467,N/A,2,0,5,CZE,Martin Peterka
245,11,10,53,3,121.0,49,28,2,1,22,14,8,Balvín,210,14,Ondrej Balvín (CZE),20,168670,/basketballworldcup/2019/player/Ondrej-Balvín,-6,73,Center,12644,N/A,5,0,15,CZE,Ondrej Balvín
246,12,2,16,0,43.0,33,14,3,1,13,6,8,Pumprla,137,3,Pavel Pumprla (CZE),11,150649,/basketballworldcup/2019/player/Pavel-Pumprla,1,37,Forward,8258,N/A,5,0,4,CZE,Pavel Pumprla
247,68,3,39,2,172.0,65,29,27,13,30,27,8,Satoransky,265,6,Tomas Satoransky (CZE),14,156277,/basketballworldcup/2019/player/Tomas-Satoransky,15,124,Point Guard,15919,N/A,7,0,22,CZE,Tomas Satoransky
248,14,1,8,0,55.0,11,5,17,11,2,1,6,Schilb,102,0,Blake Schilb (CZE),2,163142,/basketballworldcup/2019/player/Blake-Schilb,9,44,Forward,6173,N/A,4,0,3,CZE,Blake Schilb
249,9,0,0,0,6.0,3,1,4,1,4,2,6,Sirina,32,0,Jakub Sirina (CZE),6,150912,/basketballworldcup/2019/player/Jakub-Sirina,-13,7,Point Guard,1968,N/A,0,0,3,CZE,Jakub Sirina
250,1,0,0,0,-3.0,0,0,2,0,0,0,6,Vyoral,10,0,Tomas Vyoral (CZE),1,160181,/basketballworldcup/2019/player/Tomas-Vyoral,7,0,Point Guard,604,N/A,0,0,2,CZE,Tomas Vyoral
251,24,3,23,1,93.0,11,4,36,15,12,9,8,Fernandez,216,6,Rudy Fernandez (ESP),14,135508,/basketballworldcup/2019/player/Rudy-Fernandez,110,62,Small Forward,13016,N/A,13,0,7,ESP,Rudy Fernandez
252,33,9,41,0,135.0,56,30,31,7,45,34,8,Gasol,228,3,Marc Gasol (ESP),15,137482,/basketballworldcup/2019/player/Marc-Gasol,109,115,Center,13692,N/A,9,0,14,ESP,Marc Gasol
253,13,5,24,0,104.0,29,21,19,6,10,8,8,Claver,209,15,Victor Claver (ESP),21,146682,/basketballworldcup/2019/player/Victor-Claver,76,68,Forward,12547,N/A,12,0,10,ESP,Victor Claver
254,48,0,30,1,140.0,63,29,31,12,44,37,8,Rubio,210,7,Ricky Rubio (ESP),18,152350,/basketballworldcup/2019/player/Ricky-Rubio,96,131,Point Guard,12638,N/A,12,0,28,ESP,Ricky Rubio
255,30,0,10,0,53.0,38,18,49,13,11,9,8,Llull,193,0,Sergio Llull (ESP),19,143541,/basketballworldcup/2019/player/Sergio-Llull,85,84,Guard,11581,N/A,4,0,17,ESP,Sergio Llull
256,10,6,19,0,74.0,40,22,2,0,19,12,8,Hernangomez Geuer,103,12,Willy Hernangomez Geuer (ESP),13,182911,/basketballworldcup/2019/player/Willy-Hernangomez-Geuer,1,56,Center,6188,N/A,4,0,6,ESP,Willy Hernangomez Geuer
257,5,3,30,1,108.0,27,19,25,11,19,13,8,Hernangomez,184,13,Juancho Hernangomez (ESP),23,195596,/basketballworldcup/2019/player/Juancho-Hernangomez,30,84,Forward,11077,N/A,8,0,7,ESP,Juancho Hernangomez
258,10,0,12,0,44.0,6,4,22,8,6,5,8,Ribas,139,1,Pau Ribas (ESP),13,150818,/basketballworldcup/2019/player/Pau-Ribas,3,37,Guard,8366,N/A,5,0,4,ESP,Pau Ribas
259,1,0,18,0,44.0,17,12,8,0,4,3,8,Oriola,103,11,Pierre Oriola (ESP),13,182291,/basketballworldcup/2019/player/Pierre-Oriola,23,27,Power Forward,6225,N/A,2,0,1,ESP,Pierre Oriola
260,6,0,2,0,12.0,3,2,3,1,0,0,5,Colom,26,1,Quino Colom (ESP),3,140616,/basketballworldcup/2019/player/Quino-Colom,24,7,Point Guard,1615,N/A,1,0,2,ESP,Quino Colom
261,0,0,4,0,9.0,2,2,3,0,0,0,4,Beiran,17,3,Javier Beiran (ESP),0,150824,/basketballworldcup/2019/player/Javier-Beiran,4,4,Forward,1022,N/A,1,0,0,ESP,Javier Beiran
262,2,0,1,0,0.0,1,0,1,0,0,0,4,Rabaseda,17,1,Xavier Rabaseda (ESP),3,152368,/basketballworldcup/2019/player/Xavier-Rabaseda,14,0,Small Forward,1033,N/A,1,0,3,ESP,Xavier Rabaseda
263,5,0,5,0,19.0,14,5,30,9,3,2,5,Zamora,101,1,Jhornan Zamora (VEN),8,152479,/basketballworldcup/2019/player/Jhornan-Zamora,-1,39,Shooting Guard,6096,N/A,2,0,2,VEN,Jhornan Zamora
264,1,0,9,0,22.0,4,2,8,4,6,3,4,Bethelmy,38,3,Luis Bethelmy (VEN),4,149791,/basketballworldcup/2019/player/Luis-Bethelmy,-11,19,Power Forward,2292,N/A,0,0,1,VEN,Luis Bethelmy
265,5,3,13,1,61.0,25,15,3,0,26,20,5,Carrera,81,12,Michael Carrera (VEN),14,170075,/basketballworldcup/2019/player/Michael-Carrera,-14,50,Power Forward,4906,N/A,4,0,7,VEN,Michael Carrera
266,0,0,6,0,17.0,7,5,14,4,0,0,5,Chourio,66,2,Pedro Chourio (VEN),8,199741,/basketballworldcup/2019/player/Pedro-Chourio,-29,22,Shooting Guard,3979,N/A,2,0,3,VEN,Pedro Chourio
267,10,1,14,0,55.0,40,17,8,2,9,6,5,Colmenares,129,15,Nestor Colmenares (VEN),16,187118,/basketballworldcup/2019/player/Nestor-Colmenares,-6,46,Power Forward,7787,N/A,7,0,6,VEN,Nestor Colmenares
268,31,0,8,0,66.0,33,14,28,12,3,1,5,Guillent,144,2,Heissler Guillent (VEN),7,176744,/basketballworldcup/2019/player/Heissler-Guillent,11,65,Point Guard,8669,N/A,5,0,8,VEN,Heissler Guillent
269,5,1,5,0,36.0,24,13,9,4,2,2,5,Lewis,86,2,Dwight Lewis (VEN),7,186619,/basketballworldcup/2019/player/Dwight-Lewis,8,40,Small Forward,5179,N/A,2,0,3,VEN,Dwight Lewis
270,2,1,6,0,18.0,6,3,2,0,0,0,4,Graterol,33,9,Windi Graterol (VEN),8,172121,/basketballworldcup/2019/player/Windi-Graterol,-3,6,Center,2037,N/A,0,0,1,VEN,Windi Graterol
271,4,0,23,0,57.0,19,10,0,0,1,1,5,Ruiz,116,15,Miguel Ruiz (VEN),17,192924,/basketballworldcup/2019/player/Miguel-Ruiz,12,21,Power Forward,6972,N/A,7,0,4,VEN,Miguel Ruiz
272,12,0,9,0,21.0,24,9,9,1,12,10,5,Vargas,102,4,Gregory Vargas (VEN),12,173128,/basketballworldcup/2019/player/Gregory-Vargas,-21,31,Point Guard,6173,N/A,3,0,13,VEN,Gregory Vargas
273,4,1,7,0,11.0,10,3,12,3,2,0,5,Vargas,81,3,Jose Vargas (VEN),13,156033,/basketballworldcup/2019/player/Jose-Vargas,0,15,Small Forward,4886,N/A,5,0,6,VEN,Jose Vargas
274,33,0,12,0,31.0,25,9,14,3,11,2,5,Solano,121,1,Gelvis Solano (DOM),13,224581,/basketballworldcup/2019/player/Gelvis-Solano,-13,29,Point Guard,7303,N/A,6,0,14,DOM,Gelvis Solano
275,5,0,0,0,13.0,4,2,6,3,2,1,4,Ramon,40,0,Ronald Ramon (DOM),6,180919,/basketballworldcup/2019/player/Ronald-Ramon,-31,14,Point Guard,2403,N/A,1,0,1,DOM,Ronald Ramon
276,10,1,9,0,44.0,32,13,20,7,22,18,5,Liz,131,5,Victor Liz (DOM),7,193178,/basketballworldcup/2019/player/Victor-Liz,-40,65,Shooting Guard,7916,N/A,7,0,17,DOM,Victor Liz
277,10,1,15,0,41.0,28,13,11,3,5,5,5,Mendoza,113,3,Rigoberto Mendoza (DOM),4,215021,/basketballworldcup/2019/player/Rigoberto-Mendoza,-46,40,Guard,6828,N/A,3,0,8,DOM,Rigoberto Mendoza
278,0,0,2,0,3.0,1,0,0,0,2,2,4,Suero,19,1,Juan Miguel Suero (DOM),2,215090,/basketballworldcup/2019/player/Juan-Miguel-Suero,-5,2,,1152,N/A,0,0,1,DOM,Juan Miguel Suero
279,3,3,10,0,29.0,13,5,16,5,6,3,5,Montero,95,4,Luis Montero (DOM),12,219427,/basketballworldcup/2019/player/Luis-Montero,-22,28,Guard,5742,N/A,7,0,4,DOM,Luis Montero
280,3,0,11,0,35.0,15,7,8,4,0,0,5,Rojas,101,8,Sadiel Rojas (DOM),14,192706,/basketballworldcup/2019/player/Sadiel-Rojas,-23,26,Small Forward,6078,N/A,7,0,8,DOM,Sadiel Rojas
281,3,3,18,0,66.0,36,21,2,0,15,13,5,Vargas,101,9,Eloy Vargas (DOM),15,192135,/basketballworldcup/2019/player/Eloy-Vargas,-23,55,Center,6070,N/A,1,0,4,DOM,Eloy Vargas
282,3,0,0,0,6.0,2,0,6,2,2,2,5,Peña,31,1,Dagoberto Peña (DOM),4,195507,/basketballworldcup/2019/player/Dagoberto-Peña,-10,8,,1888,N/A,1,0,1,DOM,Dagoberto Peña
283,8,2,16,0,41.0,16,7,21,5,4,3,5,Baez,121,6,Eulis Baez (DOM),9,138547,/basketballworldcup/2019/player/Eulis-Baez,-19,32,Forward,7272,N/A,6,0,3,DOM,Eulis Baez
284,1,1,3,0,1.0,1,0,5,1,2,0,4,Garcia,21,1,Juan Garcia (DOM),3,173894,/basketballworldcup/2019/player/Juan-Garcia,-2,3,Power Forward,1268,N/A,1,0,2,DOM,Juan Garcia
285,2,1,11,0,38.0,31,14,1,0,8,7,5,Roberts,101,10,Ronald Roberts (DOM),12,210758,/basketballworldcup/2019/player/Ronald-Roberts,-31,35,Power Forward,6080,N/A,2,0,4,DOM,Ronald Roberts
286,5,4,20,0,59.0,19,10,17,6,14,10,5,Abercrombie,137,8,Tom Abercrombie (NZL),12,149634,/basketballworldcup/2019/player/Tom-Abercrombie,46,48,Small Forward,8222,N/A,3,0,5,NZL,Tom Abercrombie
287,0,0,9,0,20.0,11,7,3,0,2,2,5,Delany,70,6,Finn Delany (NZL),12,216274,/basketballworldcup/2019/player/Finn-Delany,-32,16,Power Forward,4231,N/A,1,0,5,NZL,Finn Delany
288,8,0,23,1,98.0,43,32,8,2,30,22,5,Fotu,123,7,Isaac Fotu (NZL),12,184255,/basketballworldcup/2019/player/Isaac-Fotu,49,92,Power Forward,7382,N/A,1,0,8,NZL,Isaac Fotu
289,25,3,12,0,73.0,21,10,6,3,28,23,5,Ili,103,3,Shea Ili (NZL),13,217716,/basketballworldcup/2019/player/Shea-Ili,-4,52,Point Guard,6228,N/A,3,0,6,NZL,Shea Ili
290,16,2,14,0,66.0,13,6,23,12,12,7,5,Loe,116,10,Rob Loe (NZL),20,156348,/basketballworldcup/2019/player/Rob-Loe,45,55,Center,7014,N/A,2,0,10,NZL,Rob Loe
291,2,0,5,0,10.0,8,3,0,0,0,0,5,Pledger,23,2,Alex Pledger (NZL),3,166891,/basketballworldcup/2019/player/Alex-Pledger,-27,6,Center,1437,N/A,0,0,0,NZL,Alex Pledger
292,0,0,4,0,9.0,3,1,14,5,2,1,5,Rusbatch,51,1,Ethan Rusbatch (NZL),7,181208,/basketballworldcup/2019/player/Ethan-Rusbatch,-23,18,Shooting Guard,3068,N/A,1,0,3,NZL,Ethan Rusbatch
293,5,6,9,0,45.0,8,5,12,5,2,1,5,Smith-Milner,63,5,Tohi Smith-Milner (NZL),9,194467,/basketballworldcup/2019/player/Tohi-Smith-Milner,13,26,Power Forward,3826,N/A,6,0,1,NZL,Tohi Smith-Milner
294,28,0,20,0,128.0,28,15,44,24,13,12,5,Webster,149,3,Corey Webster (NZL),10,156434,/basketballworldcup/2019/player/Corey-Webster,40,114,Shooting Guard,8940,N/A,5,0,8,NZL,Corey Webster
295,24,0,20,0,58.0,34,20,21,4,20,15,5,Webster,137,1,Tai Webster (NZL),18,195471,/basketballworldcup/2019/player/Tai-Webster,24,67,Point Guard,8246,N/A,2,0,20,NZL,Tai Webster
296,20,0,5,0,24.0,8,1,16,6,0,0,8,Koszarek,110,1,Lukasz Koszarek (POL),10,137866,/basketballworldcup/2019/player/Lukasz-Koszarek,-10,20,Point Guard,6606,N/A,3,0,8,POL,Lukasz Koszarek
297,2,0,0,0,-2.0,1,0,4,0,0,0,4,Laczynski,10,1,Kamil  Laczynski (POL),4,151788,/basketballworldcup/2019/player/Kamil-Laczynski,0,0,Point Guard,638,N/A,1,0,1,POL,Kamil  Laczynski
298,38,1,15,1,97.0,58,26,40,13,17,15,8,Slaughter,238,7,A.J. Slaughter (POL),12,184710,/basketballworldcup/2019/player/A-J--Slaughter,-25,106,Point Guard,14289,N/A,7,0,16,POL,A.J. Slaughter
299,1,0,8,0,15.0,6,5,10,2,4,2,7,Gruszecki,41,1,Karol Gruszecki (POL),1,151781,/basketballworldcup/2019/player/Karol-Gruszecki,-8,18,Shooting Guard,2484,N/A,3,0,5,POL,Karol Gruszecki
300,13,7,47,0,129.0,49,26,17,7,47,35,8,Ponitka,229,7,Mateusz Ponitka (POL),19,175849,/basketballworldcup/2019/player/Mateusz-Ponitka,-20,108,Shooting Guard,13764,N/A,11,0,19,POL,Mateusz Ponitka
301,6,4,11,0,77.0,24,16,11,5,14,13,8,Sokolowski,142,11,Michal Sokolowski (POL),22,168733,/basketballworldcup/2019/player/Michal-Sokolowski,15,60,Small Forward,8541,N/A,5,0,5,POL,Michal Sokolowski
302,1,0,5,0,11.0,8,4,0,0,0,0,5,Olejniczak,13,2,Dominik Olejniczak (POL),2,203704,/basketballworldcup/2019/player/Dominik-Olejniczak,4,8,Center,825,N/A,0,0,1,POL,Dominik Olejniczak
303,22,1,16,0,98.0,40,19,40,15,30,28,8,Waczynski,251,5,Adam Waczynski (POL),14,155200,/basketballworldcup/2019/player/Adam-Waczynski,-19,111,Small Forward,15087,N/A,5,0,14,POL,Adam Waczynski
304,4,0,12,0,18.0,7,6,11,1,13,5,8,Balcerowski,107,3,Aleksander Roman Balcerowski (POL),9,215071,/basketballworldcup/2019/player/Aleksander-Roman-Balcerowski,-5,20,Center,6463,N/A,2,0,4,POL,Aleksander Roman Balcerowski
305,7,0,21,0,48.0,28,13,24,8,2,1,8,Cel,157,6,Aaron Cel (POL),13,142650,/basketballworldcup/2019/player/Aaron-Cel,-34,51,Power Forward,9424,N/A,4,0,9,POL,Aaron Cel
306,15,1,24,1,74.0,37,20,0,0,14,9,8,Hrycaniuk,164,14,Adam Hrycaniuk (POL),21,140526,/basketballworldcup/2019/player/Adam-Hrycaniuk,-4,49,Center,9851,N/A,3,0,10,POL,Adam Hrycaniuk
307,8,9,25,0,85.0,30,18,20,4,26,20,8,Kulig,158,12,Damian Kulig (POL),16,150782,/basketballworldcup/2019/player/Damian-Kulig,-19,68,Power Forward,9528,N/A,6,0,9,POL,Damian Kulig
308,9,1,15,0,54.0,12,9,17,7,2,1,8,Brussino,120,6,Nicolas Brussino (ARG),12,181248,/basketballworldcup/2019/player/Nicolas-Brussino,30,40,Shooting Guard,7208,N/A,2,0,5,ARG,Nicolas Brussino
309,62,1,28,1,146.0,33,15,46,18,28,22,8,Campazzo,233,6,Facundo Campazzo (ARG),15,163373,/basketballworldcup/2019/player/Facundo-Campazzo,106,106,Point Guard,14008,N/A,16,0,21,ARG,Facundo Campazzo
310,17,1,12,0,55.0,9,5,25,8,13,12,8,Vildoza,131,0,Luca Vildoza (ARG),17,185254,/basketballworldcup/2019/player/Luca-Vildoza,1,46,Point Guard,7910,N/A,12,0,11,ARG,Luca Vildoza
311,29,0,15,0,72.0,23,8,49,15,23,19,8,Laprovittola,178,3,Nicolás Laprovittola (ARG),16,167497,/basketballworldcup/2019/player/Nicolás-Laprovittola,57,80,Point Guard,10712,N/A,12,0,14,ARG,Nicolás Laprovittola
312,3,0,1,0,1.0,3,1,8,1,2,2,4,Redivo,18,0,Lucio Redivo (ARG),0,224629,/basketballworldcup/2019/player/Lucio-Redivo,-13,7,Shooting Guard,1105,N/A,1,0,2,ARG,Lucio Redivo
313,3,1,14,0,32.0,9,6,2,1,4,1,7,Fjellerup,59,1,Maximo Fjellerup (ARG),9,202980,/basketballworldcup/2019/player/Maximo-Fjellerup,6,16,Shooting Guard,3545,N/A,5,0,1,ARG,Maximo Fjellerup
314,8,5,19,0,77.0,32,13,20,8,16,15,8,Garino,194,7,Patricio Garino (ARG),22,170007,/basketballworldcup/2019/player/Patricio-Garino,100,65,Small Forward,11666,N/A,12,0,7,ARG,Patricio Garino
315,7,1,16,0,105.0,59,36,16,6,29,21,8,Deck,196,9,Gabriel Deck (ARG),14,177356,/basketballworldcup/2019/player/Gabriel-Deck,42,111,Small Forward,11765,N/A,9,0,7,ARG,Gabriel Deck
316,0,1,3,0,10.0,8,2,0,0,6,6,6,Gallizzi,33,3,Tayavek Gallizzi (ARG),15,181253,/basketballworldcup/2019/player/Tayavek-Gallizzi,14,10,Center,2013,N/A,3,0,4,ARG,Tayavek Gallizzi
317,4,9,26,0,75.0,41,25,0,0,16,6,8,Delia,181,11,Marcos Delia (ARG),18,173039,/basketballworldcup/2019/player/Marcos-Delia,43,56,Center,10906,N/A,1,0,6,ARG,Marcos Delia
318,14,3,51,2,150.0,77,35,29,11,46,40,8,Scola,236,14,Luís Scola (ARG),24,122079,/basketballworldcup/2019/player/Luís-Scola,103,143,Power Forward,14176,N/A,6,0,15,ARG,Luís Scola
319,1,1,2,0,11.0,5,3,0,0,3,2,6,Caffaro,16,2,Agustin Caffaro (ARG),4,195548,/basketballworldcup/2019/player/Agustin-Caffaro,-4,8,Center,986,N/A,1,0,1,ARG,Agustin Caffaro
320,21,2,9,0,41.0,5,2,5,1,2,0,5,Balbay,85,8,Dogus Balbay (TUR),9,146385,/basketballworldcup/2019/player/Dogus-Balbay,20,7,Point Guard,5150,N/A,5,0,2,TUR,Dogus Balbay
321,0,0,9,0,18.0,9,5,0,0,10,6,4,Sanli,45,0,Sertac Sanli (TUR),8,156197,/basketballworldcup/2019/player/Sertac-Sanli,-11,16,Center,2729,N/A,3,0,2,TUR,Sertac Sanli
322,13,0,5,0,21.0,6,3,5,1,2,2,5,Tuncer,51,1,Bugrahan Tuncer (TUR),6,176214,/basketballworldcup/2019/player/Bugrahan-Tuncer,-7,11,Shooting Guard,3104,N/A,1,0,3,TUR,Bugrahan Tuncer
323,1,0,16,0,39.0,16,11,8,1,6,6,5,Birsen,89,8,James Metecan Birsen (TUR),4,183292,/basketballworldcup/2019/player/James-Metecan-Birsen,-14,31,Small Forward,5340,N/A,1,0,6,TUR,James Metecan Birsen
324,5,0,4,0,78.0,33,22,31,15,5,4,5,Mahmutoglu,156,4,Melih Mahmutoglu (TUR),4,156212,/basketballworldcup/2019/player/Melih-Mahmutoglu,24,93,Shooting Guard,9385,N/A,4,0,4,TUR,Melih Mahmutoglu
325,4,3,14,0,32.0,26,13,0,0,13,8,5,Erden,114,5,Semih Erden (TUR),21,145958,/basketballworldcup/2019/player/Semih-Erden,20,34,Center,6890,N/A,4,0,14,TUR,Semih Erden
326,13,2,14,0,92.0,42,28,34,10,19,16,5,Osman,163,2,Cedi Osman (TUR),14,190655,/basketballworldcup/2019/player/Cedi-Osman,22,102,Small Forward,9809,N/A,7,0,7,TUR,Cedi Osman
327,7,1,10,0,46.0,22,11,18,7,5,4,4,Korkmaz,106,4,Furkan Korkmaz (TUR),6,197385,/basketballworldcup/2019/player/Furkan-Korkmaz,-31,47,Shooting Guard,6379,N/A,6,0,6,TUR,Furkan Korkmaz
328,26,0,10,0,63.0,17,8,12,6,8,7,4,Wilbekin,85,1,Scott Wilbekin (TUR),11,188889,/basketballworldcup/2019/player/Scott-Wilbekin,2,41,Point Guard,5154,N/A,5,0,4,TUR,Scott Wilbekin
329,7,3,16,0,44.0,43,19,10,1,12,10,5,Ndour,135,5,Maurice Ndour (SEN),13,211573,/basketballworldcup/2019/player/Maurice-Ndour,-98,51,Forward,8144,N/A,10,0,13,SEN,Maurice Ndour
330,27,1,15,0,43.0,22,10,13,3,5,4,5,Dalmeida,161,1,Xane Dalmeida (SEN),8,153469,/basketballworldcup/2019/player/Xane-Dalmeida,-59,33,Guard,9685,N/A,3,0,14,SEN,Xane Dalmeida
331,11,0,3,0,12.0,17,6,27,7,0,0,5,Sambe,122,1,Lamine Sambe (SEN),12,146625,/basketballworldcup/2019/player/Lamine-Sambe,-65,33,Guard,7333,N/A,3,0,8,SEN,Lamine Sambe
332,9,4,12,0,41.0,21,8,28,8,13,9,5,Faye,143,5,Mouhammad Faye (SEN),11,148900,/basketballworldcup/2019/player/Mouhammad-Faye,-70,49,Power Forward,8636,N/A,7,0,8,SEN,Mouhammad Faye
333,2,7,21,2,67.0,42,23,6,1,12,10,5,Ndoye,126,10,Youssoupha Ndoye (SEN),12,181170,/basketballworldcup/2019/player/Youssoupha-Ndoye,-77,59,Center,7578,N/A,2,0,8,SEN,Youssoupha Ndoye
334,1,0,3,0,5.0,4,0,0,0,2,1,5,Ndoye,35,3,Momar Ndoye (SEN),2,273044,/basketballworldcup/2019/player/Momar-Ndoye,-27,1,Forward,2109,N/A,2,0,0,SEN,Momar Ndoye
335,1,0,1,0,30.0,21,11,4,3,1,1,4,Toure,63,8,Babacar Toure (SEN),7,165133,/basketballworldcup/2019/player/Babacar-Toure,-40,32,Center,3780,N/A,2,0,3,SEN,Babacar Toure
336,1,4,4,0,16.0,4,3,0,0,2,1,4,Ndiaye,43,2,Hamady Ndiaye (SEN),5,180719,/basketballworldcup/2019/player/Hamady-Ndiaye,-16,7,Center,2635,N/A,1,0,1,SEN,Hamady Ndiaye
337,1,0,4,0,19.0,10,7,2,0,4,3,5,Diop,35,1,Pape Diop (SEN),6,211918,/basketballworldcup/2019/player/Pape-Diop,-7,17,Forward,2156,N/A,2,0,0,SEN,Pape Diop
